id_contenido,id_genero_cont,id_clasificacion_cont,duracion_min,titulo,director,descripcion_cont,lanzamiento,f_insercion_cont
1,2,2,120,Amazonas,Steven Spielberg,"En 'Amazonas', un explorador se aventura en la selva en busca de un tesoro perdido. Esta emocionante película de aventuras ofrece acción y descubrimientos en cada escena. Clasificación PG, ideal para toda la familia.",2022-05-12,2024-01-01
2,1,5,110,Tiro a matar,George Lucas,"En 'Tiro a Matar', un ex marine busca justicia en una ciudad corrupta. Acción sin frenos y giros sorprendentes en cada escena. Clasificación NC-17 para una experiencia intensa.",2023-08-01,2024-01-01
3,3,1,120,Marte,Francis Ford Coppola,"En 'Marte', astronautas colonizan el planeta rojo. Emocionante y apta para toda la familia. Clasificación PG.",2020-04-13,2024-01-01
4,4,1,90,Patos,Martin Scorsese,"En 'Patos', una comedia familiar, un grupo de patos urbanos emprende una aventura hilarante en busca de su hogar perdido. Risas aseguradas para todos. Clasificación G.",2021-09-21,2024-01-01
5,7,1,100,Sirenita,Tim Burton,"En 'Sirenita', un musical encantador, una sirena sueña con explorar el mundo humano. Con números musicales cautivadores y una historia conmovedora, es una experiencia mágica para todos. Clasificación G.",2023-08-09,2024-01-01
6,6,1,95,La granja,Robert Zemeckis,"En 'La Granja', una película de fantasía, descubrimos un lugar donde los animales hablan y los sueños se vuelven realidad. Con aventuras emocionantes y personajes entrañables, esta película es perfecta para toda la familia. Clasificada G para una experiencia adecuada para todas las edades.",2021-03-02,2024-01-01
7,5,3,125,La purga,John Hughes,"En 'La Purga', un drama intenso sigue las vidas entrelazadas durante una noche crucial. Con giros sorprendentes, es una experiencia poderosa. Clasificación PG-13.",2022-10-10,2024-01-01
8,5,5,105,Dios,Ridley Scott,"En 'Dios', un drama provocativo explora la fe y la humanidad con intensidad. Actuaciones poderosas y una historia conmovedora desafían las convenciones. Clasificación NC-17.",2022-12-29,2024-01-01
9,4,1,97,Te veo pero no te veo,Oliver Stone,"En 'Te Veo pero No Te Veo', una comedia familiar sigue las travesuras de amigos en un juego de escondite. Risas garantizadas para todos. Clasificación G.",2020-01-31,2024-01-01
10,3,4,125,Apocalipsis,James Cameron,"En 'Apocalipsis', una ciencia ficción intensa, el mundo enfrenta su fin. Con efectos visuales impactantes y un suspenso implacable, esta película clasificada R es para audiencias adultas que buscan emociones fuertes.",2016-06-16,2024-01-01
11,2,1,92,La jungla,John Landis,"En 'La Jungla', aventureros buscan tesoros perdidos. Emoción garantizada para todos. Clasificación G.",2013-02-22,2024-01-01
12,2,3,87,Serpientes,James Cameron,"En 'Serpientes', exploradores enfrentan peligros mortales en la selva. Emocionante y apta para adolescentes. Clasificación PG-13.",2010-08-18,2024-01-01
13,1,4,90,No mires hacia atras,Tim Burton,"En 'No Mires Hacia Atrás', un agente encubierto lucha contra una red criminal. Acción intensa y giros sorprendentes. Clasificación R.",2019-03-24,2024-01-01
14,4,1,103,Que paso ayer?,George Lucas,"En 'Qué Pasó Ayer?', amigos reviven una loca noche en Las Vegas. Risas aseguradas. Clasificación G.",2019-11-21,2024-01-01
15,6,1,120,Narnia,Francis Ford Coppola,"En 'Narnia', una fantasía épica lleva a espectadores de todas las edades a un mundo mágico. Aventuras y criaturas extraordinarias te esperan. Clasificación G.",2007-07-11,2024-01-01